idade,area_atual,horas_disponiveis,nivel_logica,nivel_ingles,area_recomendada,tempo_estimado_semanas
50,Direito,31,4,6,Cybersecurity,39
36,Atendimento,21,7,7,Desenvolvimento Full Stack,48
45,Vendas,14,5,6,UX/UI Design,55
20,Engenharia,22,8,3,Data Science,48
27,Engenharia,12,9,6,Data Science,51
23,Administração,31,10,6,Data Science,33
37,Administração,10,2,5,Product Management,64
29,Administração,23,5,9,Desenvolvimento Full Stack,48
27,Direito,20,5,8,Desenvolvimento Full Stack,50
42,Saúde,12,5,6,UX/UI Design,62
22,Saúde,28,7,6,UX/UI Design,41
26,Educação,22,6,6,UX/UI Design,47
43,Atendimento,29,10,2,Data Science,34
30,Vendas,31,3,2,Product Management,45
19,Educação,6,7,8,Desenvolvimento Full Stack,59
24,Vendas,36,10,10,Data Science,32
38,Atendimento,27,10,6,Data Science,38
27,Administração,28,2,5,Product Management,53
41,Educação,37,4,9,UX/UI Design,44
47,Engenharia,11,7,8,Desenvolvimento Full Stack,54
20,Educação,16,3,1,UX/UI Design,60
22,Atendimento,38,1,4,Cybersecurity,45
34,Administração,28,9,4,Data Science,36
23,Direito,38,4,6,Cybersecurity,37
54,Direito,18,7,7,Desenvolvimento Full Stack,51
36,Administração,22,4,1,Product Management,52
37,Atendimento,20,5,3,Cybersecurity,49
48,Vendas,5,5,9,Desenvolvimento Full Stack,67
25,Atendimento,37,4,3,Cybersecurity,44
20,Vendas,15,10,7,Data Science,51
49,Administração,38,2,1,Product Management,45
54,Saúde,13,6,6,UX/UI Design,57
20,Atendimento,9,8,9,Data Science,56
49,Engenharia,10,5,3,UX/UI Design,63
51,Engenharia,30,6,10,Desenvolvimento Full Stack,43
37,Saúde,20,10,10,Data Science,46
18,Educação,29,1,2,UX/UI Design,46
41,Direito,9,8,7,Data Science,55
30,Atendimento,29,8,4,Data Science,42
26,Vendas,13,2,5,Product Management,61
43,Administração,32,3,6,Product Management,43
29,Saúde,20,8,8,Data Science,45
53,Direito,10,7,1,Cybersecurity,54
51,Vendas,38,2,10,Product Management,42
54,Engenharia,33,10,4,Data Science,38
50,Educação,20,6,1,UX/UI Design,53
39,Atendimento,27,5,4,Cybersecurity,44
55,Vendas,6,9,1,Data Science,62
25,Direito,40,4,10,Cybersecurity,33
46,Saúde,23,4,8,UX/UI Design,46
52,Engenharia,33,3,3,UX/UI Design,43
44,Direito,11,9,8,Data Science,49
31,Administração,10,9,10,Data Science,50
44,Atendimento,7,4,5,Cybersecurity,64
21,Atendimento,27,2,2,Cybersecurity,48
54,Atendimento,21,9,1,Data Science,50
53,Atendimento,29,1,2,Cybersecurity,52
51,Direito,30,8,3,Data Science,38
31,Educação,40,1,7,UX/UI Design,36
47,Direito,35,9,10,Data Science,39
39,Educação,29,4,7,UX/UI Design,48
32,Vendas,28,9,5,Data Science,45
39,Educação,10,1,9,UX/UI Design,60
25,Vendas,23,6,1,UX/UI Design,52
29,Saúde,30,6,4,UX/UI Design,42
29,Saúde,24,6,7,Desenvolvimento Full Stack,44
27,Administração,25,3,5,Product Management,46
29,Administração,32,1,4,Product Management,42
23,Direito,27,2,4,Cybersecurity,51
33,Administração,6,5,9,Desenvolvimento Full Stack,62
47,Saúde,10,8,6,Data Science,51
20,Direito,39,7,6,Cybersecurity,36
46,Engenharia,20,6,10,Desenvolvimento Full Stack,48
46,Saúde,30,6,7,Desenvolvimento Full Stack,42
49,Engenharia,5,7,8,Desenvolvimento Full Stack,56
52,Engenharia,23,1,7,UX/UI Design,55
27,Vendas,16,7,9,Desenvolvimento Full Stack,57
37,Saúde,5,10,4,Data Science,60
32,Atendimento,38,6,7,Desenvolvimento Full Stack,33
30,Engenharia,31,5,4,UX/UI Design,41
18,Saúde,22,2,4,UX/UI Design,56
47,Direito,14,3,9,Cybersecurity,55
36,Vendas,34,9,2,Data Science,32
35,Administração,6,9,1,Data Science,57
39,Administração,5,4,9,Product Management,70
26,Atendimento,16,5,8,Desenvolvimento Full Stack,55
54,Educação,6,9,10,Data Science,55
19,Engenharia,8,8,4,Data Science,62
42,Vendas,37,4,1,Product Management,36
50,Direito,16,7,5,Cybersecurity,51
36,Engenharia,40,1,9,UX/UI Design,38
40,Engenharia,17,8,2,Data Science,49
23,Administração,14,5,5,UX/UI Design,58
36,Administração,10,9,6,Data Science,50
23,Educação,5,6,3,UX/UI Design,58
37,Engenharia,34,7,5,UX/UI Design,43
49,Direito,13,9,8,Data Science,53
19,Saúde,20,5,9,Desenvolvimento Full Stack,55
30,Saúde,15,1,9,UX/UI Design,56
36,Direito,23,2,7,Cybersecurity,55
36,Educação,28,2,3,UX/UI Design,47
49,Direito,20,4,3,Cybersecurity,55
25,Saúde,14,1,4,UX/UI Design,65
45,Educação,19,4,8,UX/UI Design,51
30,Educação,8,2,5,UX/UI Design,63
28,Direito,9,6,10,Desenvolvimento Full Stack,56
43,Educação,25,10,2,Data Science,39
29,Educação,24,10,2,Data Science,41
48,Vendas,21,6,4,UX/UI Design,47
54,Vendas,14,6,7,Desenvolvimento Full Stack,55
20,Administração,32,10,9,Data Science,37
26,Atendimento,18,1,2,Cybersecurity,61
22,Educação,10,3,1,UX/UI Design,59
30,Direito,25,1,7,Cybersecurity,48
35,Direito,34,9,2,Data Science,40
35,Atendimento,33,3,3,Cybersecurity,45
51,Direito,14,9,2,Data Science,54
22,Direito,8,3,10,Cybersecurity,64
21,Administração,39,6,9,Desenvolvimento Full Stack,32
26,Educação,32,10,8,Data Science,32
43,Educação,28,5,1,UX/UI Design,41
51,Engenharia,29,1,1,UX/UI Design,51
37,Direito,31,6,10,Desenvolvimento Full Stack,42
50,Engenharia,33,7,3,UX/UI Design,40
35,Vendas,37,3,7,Product Management,37
18,Educação,30,3,10,UX/UI Design,48
22,Engenharia,36,10,2,Data Science,29
49,Saúde,20,1,3,UX/UI Design,59
22,Educação,38,10,1,Data Science,34
46,Saúde,26,6,2,UX/UI Design,47
19,Educação,23,9,1,Data Science,49
49,Engenharia,5,8,8,Data Science,63
46,Atendimento,25,2,7,Cybersecurity,48
47,Educação,15,5,7,Desenvolvimento Full Stack,52
18,Administração,39,6,8,Desenvolvimento Full Stack,32
26,Vendas,29,3,6,Product Management,49
54,Engenharia,27,2,2,UX/UI Design,51
19,Educação,9,8,1,Data Science,58
34,Saúde,12,5,2,UX/UI Design,58
55,Educação,18,10,5,Data Science,50
21,Atendimento,10,8,9,Data Science,61
37,Direito,17,6,2,Cybersecurity,54
35,Vendas,24,2,8,Product Management,53
20,Administração,16,5,2,UX/UI Design,59
53,Saúde,5,3,4,UX/UI Design,63
32,Vendas,30,10,3,Data Science,36
20,Direito,32,6,9,Desenvolvimento Full Stack,37
55,Educação,5,10,7,Data Science,54
48,Atendimento,27,7,5,Cybersecurity,47
28,Administração,33,1,5,Product Management,50
33,Educação,11,5,8,Desenvolvimento Full Stack,57
48,Administração,39,5,3,UX/UI Design,35
27,Educação,5,10,1,Data Science,61
28,Educação,34,1,9,UX/UI Design,49
36,Administração,9,4,8,Product Management,59
36,Vendas,25,4,5,Product Management,48
37,Administração,19,4,7,Product Management,55
42,Atendimento,36,8,7,Data Science,39
51,Administração,19,9,10,Data Science,43
47,Administração,17,4,3,Product Management,51
32,Atendimento,6,5,2,Cybersecurity,66
42,Direito,5,7,1,Cybersecurity,57
41,Educação,20,4,3,UX/UI Design,53
26,Educação,38,1,3,UX/UI Design,39
22,Atendimento,26,2,7,Cybersecurity,46
29,Direito,24,7,8,Desenvolvimento Full Stack,41
55,Direito,35,2,8,Cybersecurity,38
37,Engenharia,36,8,10,Data Science,31
48,Atendimento,28,9,6,Data Science,41
29,Administração,31,7,9,Desenvolvimento Full Stack,43
47,Educação,26,8,8,Data Science,48
29,Administração,38,2,10,Product Management,45
30,Atendimento,34,3,7,Cybersecurity,38
35,Vendas,23,1,7,Product Management,56
39,Educação,19,7,7,Desenvolvimento Full Stack,49
36,Administração,5,10,5,Data Science,54
36,Engenharia,36,3,6,UX/UI Design,41
46,Educação,12,6,3,UX/UI Design,53
26,Atendimento,40,1,1,Cybersecurity,43
40,Administração,24,7,10,Desenvolvimento Full Stack,51
27,Vendas,7,9,10,Data Science,61
45,Vendas,22,6,9,Desenvolvimento Full Stack,50
28,Educação,26,4,8,UX/UI Design,49
21,Administração,7,5,6,UX/UI Design,57
38,Atendimento,20,8,6,Data Science,46
44,Direito,11,6,8,Desenvolvimento Full Stack,60
31,Engenharia,40,9,2,Data Science,35
28,Atendimento,9,9,1,Data Science,58
30,Direito,15,8,2,Data Science,52
37,Saúde,27,5,10,Desenvolvimento Full Stack,45
42,Vendas,17,7,8,Desenvolvimento Full Stack,51
46,Administração,28,5,4,UX/UI Design,44
31,Administração,14,8,6,Data Science,48
34,Administração,8,5,7,Desenvolvimento Full Stack,64
37,Administração,18,3,6,Product Management,52
40,Vendas,28,3,9,Product Management,47
32,Engenharia,20,9,2,Data Science,45
29,Administração,21,7,1,UX/UI Design,45
45,Direito,37,7,1,Cybersecurity,37
43,Direito,27,7,10,Desenvolvimento Full Stack,42
35,Atendimento,21,5,4,Cybersecurity,54
19,Engenharia,34,1,2,UX/UI Design,44
35,Direito,6,9,6,Data Science,54
38,Engenharia,16,3,4,UX/UI Design,61
40,Educação,7,7,1,UX/UI Design,61
48,Engenharia,21,2,8,UX/UI Design,53
39,Direito,14,10,1,Data Science,52
33,Administração,6,8,9,Data Science,56
33,Direito,30,8,7,Data Science,40
37,Engenharia,28,7,1,UX/UI Design,40
28,Engenharia,21,3,3,UX/UI Design,53
47,Vendas,24,9,5,Data Science,45
36,Educação,26,9,9,Data Science,42
44,Vendas,20,8,10,Data Science,45
44,Administração,6,1,9,Product Management,66
